Dataset,Nu,Semilla,Modelo,Funcion_Objetivo,Tiempo,Bar_iter,Accuracy_Train,Accuracy_Test,Num_exec
Points_2000,1.0,77214914,Primal,-29992.751936985926,0.020587,23,0.054285714285714284,0.07,1
Points_2000,1.0,77214914,DualSinKernel,435.84393580224145,0.082289,25,0.945,0.9316666666666666,1
Points_2000,1.0,77214914,DualRBF,353.3703080722531,1.722165,22,0.9364285714285714,0.9216666666666666,1
Points_2000,10.0,77214914,Primal,-628826.2449717529,0.019034,23,0.056428571428571425,0.07,1
Points_2000,10.0,77214914,DualSinKernel,3964.0743199341305,0.081051,23,0.9442857142857143,0.93,1
Points_2000,10.0,77214914,DualRBF,2795.3083928279148,1.577892,19,0.9385714285714286,0.9133333333333333,1
Points_2000,100.0,77214914,Primal,-8732371.043440081,0.025551,29,0.056428571428571425,0.06833333333333333,1
Points_2000,100.0,77214914,DualSinKernel,39147.254389354304,0.083004,27,0.9457142857142857,0.93,1
Points_2000,100.0,77214914,DualRBF,23380.94631806142,1.542563,18,0.9471428571428572,0.9116666666666666,1
WDBC,0.01,77214914,Primal,-651186.9525153406,0.014196,8,0.20854271356783918,0.16374269005847952,1
WDBC,0.01,77214914,DualSinKernel,0.35577694086426426,0.022954,27,0.9623115577889447,0.9181286549707602,1
WDBC,0.01,77214914,DualRBF,2.4826556177922523,0.057718,11,0.8819095477386935,0.8654970760233918,1
WDBC,0.1,77214914,Primal,-8219700.488393048,0.015158,9,0.21105527638190955,0.25146198830409355,1
WDBC,0.1,77214914,DualSinKernel,3.229115881547863,0.020754,23,0.9723618090452262,0.9181286549707602,1
WDBC,0.1,77214914,DualRBF,13.206979876660235,0.075588,17,0.8819095477386935,0.8654970760233918,1
WDBC,0.0,77214914,Primal,0.0,0.001912,-1,0.37185929648241206,0.3742690058479532,1
WDBC,0.0,77214914,DualSinKernel,0.0,-1.0,-1,0.37185929648241206,0.3742690058479532,1
WDBC,0.0,77214914,DualRBF,0.0,-1.0,-1,0.628140703517588,0.6257309941520468,1
WDBC,1.0,77214914,Primal,-59823149.80307101,0.028383,18,0.23618090452261306,0.26900584795321636,1
WDBC,1.0,77214914,DualSinKernel,26.4131325292176,0.02032,22,0.9798994974874372,0.9239766081871345,1
WDBC,1.0,77214914,DualRBF,89.7034518674874,0.082364,19,0.8768844221105527,0.8596491228070176,1
WDBC,10.0,77214914,Primal,-1053691165.029534,0.032238,24,0.22613065326633167,0.2573099415204678,1
WDBC,10.0,77214914,DualSinKernel,201.46565121590302,0.021879,23,0.9824120603015075,0.935672514619883,1
WDBC,10.0,77214914,DualRBF,670.7738104012668,0.081509,19,0.9095477386934674,0.8771929824561403,1
WDBC,100.0,77214914,Primal,-14020468374.198328,0.044008,34,0.21608040201005024,0.23976608187134502,1
WDBC,100.0,77214914,DualSinKernel,1376.002175344278,0.02102,23,0.992462311557789,0.9473684210526315,1
WDBC,100.0,77214914,DualRBF,5499.416614718495,0.079478,18,0.9371859296482412,0.9181286549707602,1
Moons_100,0.01,77214914,Primal,-20.611451164981144,0.003847,10,0.5,0.5,1
Moons_100,0.01,77214914,DualSinKernel,0.5718255137848155,0.002838,8,0.8,0.7,1
Moons_100,0.01,77214914,DualRBF,0.6668758394953469,0.004745,7,0.8571428571428571,0.8333333333333334,1
Moons_100,0.1,77214914,Primal,-461.46318488300636,0.003397,9,0.21428571428571427,0.3,1
Moons_100,0.1,77214914,DualSinKernel,3.1193472106858215,0.003407,13,0.8571428571428571,0.8,1
Moons_100,0.1,77214914,DualRBF,4.036185743785429,0.006022,11,0.8857142857142857,0.8666666666666667,1
Moons_100,0.0,77214914,Primal,0.0,0.001445,-1,0.5,0.5,1
Moons_100,0.0,77214914,DualSinKernel,0.0,-1.0,-1,0.5,0.5,1
Moons_100,0.0,77214914,DualRBF,0.0,-1.0,-1,0.5,0.5,1
Moons_100,1.0,77214914,Primal,-7433.089389260563,0.003648,10,0.2,0.26666666666666666,1
Moons_100,1.0,77214914,DualSinKernel,21.4315086989994,0.003777,16,0.8857142857142857,0.8333333333333334,1
Moons_100,1.0,77214914,DualRBF,16.68440889514491,0.007199,13,0.9285714285714286,1.0,1
Moons_100,10.0,77214914,Primal,-96305.80671905595,0.004084,11,0.21428571428571427,0.3,1
Moons_100,10.0,77214914,DualSinKernel,186.8382143300304,0.00339,13,0.8857142857142857,0.8333333333333334,1
Moons_100,10.0,77214914,DualRBF,83.50711079071294,0.005885,10,0.9714285714285714,0.9,1
Moons_100,100.0,77214914,Primal,-6081009.09998678,0.00419,12,0.2,0.3333333333333333,1
Moons_100,100.0,77214914,DualSinKernel,1834.1307484986,0.003697,15,0.8857142857142857,0.8333333333333334,1
Moons_100,100.0,77214914,DualRBF,342.27643744597214,0.00635,12,0.9857142857142858,0.7333333333333333,1
Moons_1000,0.01,77214914,Primal,-158.15393782541486,0.008348,10,0.29714285714285715,0.29333333333333333,1
Moons_1000,0.01,77214914,DualSinKernel,3.354082592274736,0.015283,17,0.8485714285714285,0.83,1
Moons_1000,0.01,77214914,DualRBF,4.129206563759618,0.059944,14,0.8871428571428571,0.8766666666666667,1
Moons_1000,0.1,77214914,Primal,-2740.978698833535,0.008877,10,0.20142857142857143,0.21666666666666667,1
Moons_1000,0.1,77214914,DualSinKernel,23.09374745226301,0.01866,29,0.88,0.8733333333333333,1
Moons_1000,0.1,77214914,DualRBF,15.301639737082407,0.079069,25,0.9671428571428572,0.9666666666666667,1
Moons_1000,0.0,77214914,Primal,0.0,0.001749,-1,0.5,0.5,1
Moons_1000,0.0,77214914,DualSinKernel,0.0,-1.0,-1,0.5,0.5,1
Moons_1000,0.0,77214914,DualRBF,0.0,-1.0,-1,0.5,0.5,1
Moons_1000,1.0,77214914,Primal,-62208.04715559232,0.008582,11,0.18857142857142858,0.20666666666666667,1
Moons_1000,1.0,77214914,DualSinKernel,202.0086190185105,0.018093,26,0.8842857142857142,0.8733333333333333,1
Moons_1000,1.0,77214914,DualRBF,58.19597778785265,0.082669,26,0.9857142857142858,0.9833333333333333,1
Moons_1000,10.0,77214914,Primal,-844728.4511498546,0.010404,13,0.17142857142857143,0.18333333333333332,1
